gene_id	transcript_id	L01_fpkm	L02_fpkm	L03_fpkm	L04_fpkm	L05_fpkm	L06_fpkm	L07_fpkm	L08_fpkm	L09_fpkm
XLOC_018399	TCONS_00056352	20.935122	22.845997	21.336437	28.914452	22.621161	18.149099	25.257023	26.234329	24.256424
XLOC_018399	TCONS_00056353	19.304708	16.061201	17.162647	11.794791	15.175706	17.235832	16.52261	14.165592	20.774523
XLOC_018401	TCONS_00056355	6.943499	6.346261	7.866639	9.875634	9.662736	9.551675	4.536885	4.799572	3.951642
XLOC_018403	TCONS_00056357	3.813135	2.674117	8.471058	4.423772	3.759984	3.485926	3.158681	4.902988	5.338393
XLOC_018405	TCONS_00056362	30.494766	30.286442	32.232464	33.444691	31.648043	34.076145	28.539665	24.908443	26.345081
XLOC_018406	TCONS_00056363	15.311645	16.49699	15.364088	13.291265	13.335299	16.971092	17.59914	16.549036	16.899473
XLOC_018410	TCONS_00056366	56.247936	56.283695	50.506958	52.131172	50.088318	52.203568	36.380718	36.959145	37.100384
XLOC_018411	TCONS_00056367	3.41719	2.768437	2.973533	2.89246	3.682253	3.760691	2.095604	2.527133	2.042702
XLOC_018411	TCONS_00056368	2.795176	4.013885	3.305753	3.719516	3.589973	2.502392	2.552774	3.985666	2.683818
XLOC_018413	TCONS_00056370	11.560573	12.733346	14.744905	8.520747	11.875188	12.814126	11.793756	10.289394	11.014197
XLOC_018413	TCONS_00056371	9.004464	6.849642	1.179594	0.894089	1.023533	0.891679	0.800489	1.009601	0.657097
XLOC_018413	TCONS_00056372	2.524636	3.725077	8.010321	10.985529	7.725797	8.612508	9.088593	10.086379	8.835573
XLOC_018414	TCONS_00056376	5.182091	5.168015	5.386269	6.092174	5.671315	5.000957	9.192986	9.180242	8.545086
XLOC_018416	TCONS_00056378	2.913578	2.808812	4.767777	4.770732	4.826402	1.901393	5.192733	3.706392	4.61366
XLOC_018417	TCONS_00056379	11.783341	11.851027	12.498709	11.302759	10.789405	11.057427	18.354198	14.303857	16.966419
XLOC_018418	TCONS_00056380	10.197845	7.678235	12.276027	9.95898	8.866673	7.901207	8.499984	10.284619	10.912317
XLOC_018418	TCONS_00056381	6.797843	7.871607	5.297266	5.684153	7.043102	7.166641	5.566356	4.504071	5.814746
XLOC_018418	TCONS_00056382	4.47054	0.00955	3.163446	7.225936	0.009945	5.522454	0.011418	4.645774	3.123035
XLOC_018421	TCONS_00056384	298.888702	298.978394	319.823212	364.290649	355.678528	303.753662	331.051453	343.091248	350.464325
XLOC_018428	TCONS_00056388	0.142881	0.35841	0	0.000657	0	0.004219	0.137515	20.528605	0
XLOC_018429	TCONS_00056389	83.203239	88.485229	94.989578	90.951698	78.299515	80.988022	91.672989	94.753838	94.124794
XLOC_018432	TCONS_00056392	2.935094	2.784389	2.894998	2.229089	2.335485	2.159568	3.040954	2.960665	2.911817
